participant_id	lab	lab_number	institution	list	accuracy	n_article_trials	n_noun_trials	included_in_paper	exclusion_note	hand	age_range	native_language	recording_system	age	sex	weight	height
sub-birm27	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm28	birm	1	University of Birmingham	2	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm29	birm	1	University of Birmingham	1	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm30	birm	1	University of Birmingham	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm31	birm	1	University of Birmingham	2	85.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm32	birm	1	University of Birmingham	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm33	birm	1	University of Birmingham	1	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm34	birm	1	University of Birmingham	1	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm35	birm	1	University of Birmingham	2	100.0	79	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm36	birm	1	University of Birmingham	2	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm37	birm	1	University of Birmingham	1	95.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm38	birm	1	University of Birmingham	1	100.0	77	77	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm39	birm	1	University of Birmingham	2	90.0	0	0	False	not_in_paper_analysis	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm40	birm	1	University of Birmingham	2	90.0	78	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm41	birm	1	University of Birmingham	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm42	birm	1	University of Birmingham	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-birm43	birm	1	University of Birmingham	2	90.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris01	bris	2	University of Bristol	1	95.0	73	72	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris02	bris	2	University of Bristol	1	90.0	77	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris03	bris	2	University of Bristol	2	95.0	67	65	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris04	bris	2	University of Bristol	2	100.0	79	77	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris05	bris	2	University of Bristol	1	95.0	78	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris06	bris	2	University of Bristol	1	90.0	67	69	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris07	bris	2	University of Bristol	2	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris08	bris	2	University of Bristol	2	100.0	79	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris09	bris	2	University of Bristol	1	95.0	80	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris10	bris	2	University of Bristol	1	95.0	78	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris11	bris	2	University of Bristol	2	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris12	bris	2	University of Bristol	2	90.0	71	71	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris13	bris	2	University of Bristol	1	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris14	bris	2	University of Bristol	1	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris15	bris	2	University of Bristol	2	95.0	76	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris16	bris	2	University of Bristol	2	100.0	78	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris17	bris	2	University of Bristol	1	95.0	75	75	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris18	bris	2	University of Bristol	1	90.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris19	bris	2	University of Bristol	2	100.0	79	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris20	bris	2	University of Bristol	2	95.0	76	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris21	bris	2	University of Bristol	1	95.0	75	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris22	bris	2	University of Bristol	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris23	bris	2	University of Bristol	2	100.0	78	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris24	bris	2	University of Bristol	2	86.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris25	bris	2	University of Bristol	1	95.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris26	bris	2	University of Bristol	1	95.0	80	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris27	bris	2	University of Bristol	2	90.0	79	78	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris28	bris	2	University of Bristol	2	95.0	76	75	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris29	bris	2	University of Bristol	1	95.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris30	bris	2	University of Bristol	1	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris31	bris	2	University of Bristol	2	90.0	76	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris32	bris	2	University of Bristol	2	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris33	bris	2	University of Bristol	1	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris34	bris	2	University of Bristol	1	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris35	bris	2	University of Bristol	2	95.0	77	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris36	bris	2	University of Bristol	2	90.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris37	bris	2	University of Bristol	1	100.0	61	61	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris38	bris	2	University of Bristol	1	95.0	76	76	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-bris39	bris	2	University of Bristol	2	95.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision actiCHamp	n/a	n/a	n/a	n/a
sub-edin1	edin	3	University of Edinburgh	1	100.0	78	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin10	edin	3	University of Edinburgh	1	95.0	65	66	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin11	edin	3	University of Edinburgh	2	100.0	77	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin12	edin	3	University of Edinburgh	2	100.0	80	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin13	edin	3	University of Edinburgh	1	100.0	78	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin14	edin	3	University of Edinburgh	1	90.0	73	74	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin15	edin	3	University of Edinburgh	2	100.0	78	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin16	edin	3	University of Edinburgh	2	95.0	76	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin17	edin	3	University of Edinburgh	1	90.0	79	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin18	edin	3	University of Edinburgh	1	100.0	77	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin19	edin	3	University of Edinburgh	2	95.0	79	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin2	edin	3	University of Edinburgh	1	100.0	71	73	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin20	edin	3	University of Edinburgh	2	100.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin21	edin	3	University of Edinburgh	1	95.0	80	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin22	edin	3	University of Edinburgh	1	100.0	0	0	False	not_in_paper_analysis	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin23	edin	3	University of Edinburgh	2	100.0	77	76	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin24	edin	3	University of Edinburgh	2	100.0	73	74	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin25	edin	3	University of Edinburgh	1	95.0	65	67	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin26	edin	3	University of Edinburgh	1	95.0	73	68	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin27	edin	3	University of Edinburgh	2	100.0	80	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin28	edin	3	University of Edinburgh	2	85.0	80	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin29	edin	3	University of Edinburgh	1	90.0	0	0	False	not_in_paper_analysis	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin3	edin	3	University of Edinburgh	2	100.0	72	74	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin30	edin	3	University of Edinburgh	1	100.0	78	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin31	edin	3	University of Edinburgh	2	100.0	78	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin32	edin	3	University of Edinburgh	2	90.0	77	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin33	edin	3	University of Edinburgh	1	100.0	71	72	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin34	edin	3	University of Edinburgh	1	100.0	78	75	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin35	edin	3	University of Edinburgh	2	100.0	0	0	False	not_in_paper_analysis	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin36	edin	3	University of Edinburgh	2	100.0	78	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin37	edin	3	University of Edinburgh	1	85.0	77	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin38	edin	3	University of Edinburgh	1	100.0	77	76	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin39	edin	3	University of Edinburgh	2	100.0	78	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin4	edin	3	University of Edinburgh	2	95.0	78	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin40	edin	3	University of Edinburgh	2	85.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin5	edin	3	University of Edinburgh	1	100.0	79	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin6	edin	3	University of Edinburgh	1	100.0	77	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin7	edin	3	University of Edinburgh	2	90.0	79	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin8	edin	3	University of Edinburgh	2	95.0	77	76	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-edin9	edin	3	University of Edinburgh	1	95.0	75	73	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas001	glas	4	University of Glasgow	1	100.0	79	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas002	glas	4	University of Glasgow	2	81.0	72	71	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas003	glas	4	University of Glasgow	1	86.0	79	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas004	glas	4	University of Glasgow	2	100.0	79	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas005	glas	4	University of Glasgow	2	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas006	glas	4	University of Glasgow	1	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas007	glas	4	University of Glasgow	1	95.0	74	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas008	glas	4	University of Glasgow	2	86.0	79	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas009	glas	4	University of Glasgow	1	100.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas010	glas	4	University of Glasgow	2	90.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas011	glas	4	University of Glasgow	2	100.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas012	glas	4	University of Glasgow	1	100.0	80	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas013	glas	4	University of Glasgow	2	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas014	glas	4	University of Glasgow	1	90.0	70	70	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas015	glas	4	University of Glasgow	2	86.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas016	glas	4	University of Glasgow	1	86.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas017	glas	4	University of Glasgow	2	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas018	glas	4	University of Glasgow	1	90.0	79	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas019	glas	4	University of Glasgow	1	100.0	79	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas020	glas	4	University of Glasgow	2	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas021	glas	4	University of Glasgow	2	100.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas022	glas	4	University of Glasgow	1	100.0	79	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas023	glas	4	University of Glasgow	2	100.0	77	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas024	glas	4	University of Glasgow	1	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas025	glas	4	University of Glasgow	1	100.0	79	79	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas026	glas	4	University of Glasgow	2	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas027	glas	4	University of Glasgow	2	100.0	79	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas028	glas	4	University of Glasgow	1	81.0	77	77	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas029	glas	4	University of Glasgow	1	100.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas030	glas	4	University of Glasgow	2	95.0	78	78	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas031	glas	4	University of Glasgow	1	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas032	glas	4	University of Glasgow	2	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas033	glas	4	University of Glasgow	1	90.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas034	glas	4	University of Glasgow	2	90.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas035	glas	4	University of Glasgow	2	95.0	79	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas036	glas	4	University of Glasgow	1	100.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas037	glas	4	University of Glasgow	1	95.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas038	glas	4	University of Glasgow	2	100.0	79	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas039	glas	4	University of Glasgow	2	100.0	71	75	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-glas040	glas	4	University of Glasgow	1	90.0	80	80	True	n/a	R	18-35	English	BioSemi ActiveTwo	n/a	n/a	n/a	n/a
sub-kent0001	kent	5	University of Kent	1	n/a	79	79	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0002	kent	5	University of Kent	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0003	kent	5	University of Kent	1	80.0	77	76	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0004	kent	5	University of Kent	2	100.0	79	80	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0005	kent	5	University of Kent	1	90.0	79	78	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0006	kent	5	University of Kent	2	100.0	79	80	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0007	kent	5	University of Kent	1	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0008	kent	5	University of Kent	2	95.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0009	kent	5	University of Kent	1	100.0	78	77	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0010	kent	5	University of Kent	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0011	kent	5	University of Kent	1	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0012	kent	5	University of Kent	2	100.0	80	79	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0013	kent	5	University of Kent	1	95.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0014	kent	5	University of Kent	2	100.0	76	78	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0015	kent	5	University of Kent	1	100.0	77	78	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0016	kent	5	University of Kent	2	100.0	76	77	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0017	kent	5	University of Kent	1	95.0	72	71	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0018	kent	5	University of Kent	2	100.0	80	80	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0019	kent	5	University of Kent	1	100.0	79	79	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0020	kent	5	University of Kent	2	100.0	78	78	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
sub-kent0021	kent	5	University of Kent	1	100.0	78	77	True	n/a	R	18-35	English	Brain Products BrainVision BrainAmp	n/a	n/a	n/a	n/a
